Accounting Date,masked_column
12/18/2024,5
12/18/2024,7
12/19/2024,77
12/19/2024,8190
12/20/2024,3361
12/20/2024,260
12/20/2024,0
12/20/2024,4033
12/20/2024,5
12/22/2024,9
12/23/2024,53
12/24/2024,44
12/26/2024,6
12/27/2024,6
12/27/2024,10
12/27/2024,43
12/27/2024,12
12/27/2024,10
12/27/2024,1463
12/27/2024,170
12/28/2024,6
12/28/2024,21
12/29/2024,19
12/29/2024,19
12/29/2024,22
12/31/2024,1006
12/31/2024,6
12/31/2024,300
12/31/2024,106
12/31/2024,159
12/31/2024,554
12/31/2024,145
12/31/2024,1833
12/31/2024,269
12/31/2024,201
12/31/2024,603
12/31/2024,89
12/31/2024,49
12/31/2024,244
12/31/2024,104
12/31/2024,163
12/31/2024,1087
12/31/2024,95
12/31/2024,74
12/31/2024,155
12/31/2024,147
12/31/2024,291
12/31/2024,53
12/31/2024,27
12/31/2024,27
12/31/2024,112
12/31/2024,11
12/31/2024,44
12/31/2024,104
12/31/2024,94
12/31/2024,48
12/31/2024,53
12/31/2024,113
12/31/2024,186
12/31/2024,1031
12/31/2024,118
12/31/2024,103
12/31/2024,316
12/31/2024,106
12/31/2024,412
12/31/2024,216
12/31/2024,52
12/31/2024,1129
12/31/2024,107
12/31/2024,25
12/31/2024,22
12/31/2024,98
12/31/2024,23
12/31/2024,942
12/31/2024,106
12/31/2024,292
12/31/2024,26
12/31/2024,89
12/31/2024,105
12/31/2024,112
12/31/2024,47
12/31/2024,4933
12/31/2024,198
12/31/2024,12983
12/31/2024,62
12/31/2024,57
12/31/2024,131
12/31/2024,13669
12/31/2024,9563
12/31/2024,0
12/31/2024,0
12/31/2024,0
12/31/2024,50
12/31/2024,512
12/31/2024,6697
1/1/2025,22
1/2/2025,0
1/2/2025,9
1/2/2025,3717
1/4/2025,142
1/4/2025,189
1/4/2025,142
1/4/2025,11
1/5/2025,29
1/5/2025,19
1/5/2025,7
1/6/2025,57
1/8/2025,12
1/8/2025,106
1/9/2025,216
1/9/2025,378
1/10/2025,23
1/12/2025,10
1/13/2025,5
1/13/2025,38
1/14/2025,5349
1/14/2025,8217
1/14/2025,2523
1/15/2025,12
1/15/2025,10
1/16/2025,148
1/16/2025,5
1/18/2025,17
1/19/2025,10
1/21/2025,10
1/21/2025,7052
1/21/2025,107
1/22/2025,135
1/23/2025,30969
1/23/2025,17
1/24/2025,6
1/24/2025,245
1/24/2025,2261
1/24/2025,2407
1/27/2025,6
1/27/2025,12
